frag,Area,nroad,nurb
201,331629.29,15.07782946,6532.32631187
202,395414.39,5,6164.13108985
203,183566.12,2052.7220356,6771.101115
204,236601.74,5,6649.31215731
205,124832.9,1371.75868006,6752.98670002
206,382755.24,951.50957934,4785.90946234
207,177770.76,217.88743986,20.3862134818
208,249645.56,752.54187121,7200.81444758
209,152632.2,119.93607946,7917.96502264
210,367902.16,1162.99277456,5938.63584088
211,147689.99,2216.92452425,6345.2167956
212,124902.21,693.64734694,5364.85381645
213,115447.68,3129.20986424,5007.18436667
214,161801.64,221.50042777,7043.96135113
215,233843.55,128.29386756,4559.30944591
216,136117.49,1703.4636234,6652.65889586
217,2224084.93,352.03147788,5778.30522801
218,709514.02,762.63149216,7276.8219652
219,839075.29,1081.13552945,6114.83946738
220,139897.3,1046.90936457,6103.62368411
221,206103.99,346.94859508,6918.11896057
222,324499.68,738.70121763,5958.70761981
223,470443.48,137.84092524,6066.43142505
224,295458.92,1673.63020167,5154.73603031
225,14661005.24,5,5161.62587574
226,381315.07,70.39160337,2913.70927686
227,118755.85,964.72033965,5371.53472524
228,560396.41,2434.63762008,3302.33024095
229,190090.75,1.5132583,4542.28917708
230,298357.65,2082.59749215,3315.76106751
231,117117.54,423.39233442,1457.22972512
232,300692.98,48.45543706,3384.63154082
233,208461.33,5,1547.10357616
234,123151.81,1141.95622362,3950.26926374
235,36361828.05,5,3992.39840818
236,124871.03,632.49955398,1783.14778639
237,103789.08,808.46646411,4382.86004449
238,142049.57,5,1516.61241317
239,231519.21,55.80239728,2394.98342051
240,153470.89,478.32894929,2769.01701971
241,910815.87,363.69701429,1665.50912969
242,151699.99,32.92953887,638.216124992
243,2637899.47,327.13629614,598.838055973
244,567448.99,5,2301.12095422
245,207297.92,409.85550352,1541.68402363
246,434476.79,5,2946.79797237
247,419199.63,302.45018455,1388.16733314
248,163502.76,176.914473,0
249,109305.26,522.90181921,3974.80566366
250,201.27,1314.49222165,2178.94075318
251,524528.11,778.14208804,197.161480915
252,173341.8,5.47300478,1299.49178597
253,107404.25,613.69537444,2727.4452301
254,6168519.19,66.79677848,340.467226154
255,127515.39,166.73848569,24.4469876869
256,257900.27,385.27919042,1583.45461309
257,303132.25,154.67884197,0
258,280549.72,90.53497791,123.818663139
259,399391.7,141.08774463,799.830447652
260,312.11,1838.38020035,2903.48508024
261,7.64,2617.40680678,2725.59605875
262,1908215.44,279.7924817,576.701921599
263,3444758.18,802.82349921,150.170969232
264,11.25,1249.1335798,1644.31170858
265,11.25,1249.1335798,1644.31170858
266,147414.3,2643.45847091,3188.30475029
267,2.69,4983.66261725,5488.24937168
268,384545.89,3971.73912973,16753.1858207
269,51127.88,2036.94034643,17017.0598397
270,45552.01,3746.7848346,16973.7295162
271,194052.81,3898.07569236,19136.7083264
272,33297.7,5288.30900767,20451.3366268
273,38968.07,6014.32920144,19376.3220191
274,30903.54,5780.93132298,18341.8643536
275,60011.46,6090.60580245,19935.9402385
